tokens,activated_experts,time_us
1,8,62.432
2,8,71.838
2,16,116.127
4,8,70.623
4,16,120.19
4,32,207.772
8,8,62.752
8,16,109.055
8,32,204.893
8,64,384.345
16,8,62.975
16,16,110.462
16,32,205.756
16,64,385.497
16,128,739.154
32,8,64
32,16,111.103
32,32,207.005
32,64,386.714
32,128,742.292
64,8,76.991
64,16,121.851
64,32,206.17
64,64,387.768
64,128,744.947
128,8,96.861
128,16,129.407
128,32,214.715
128,64,394.779
128,128,749.393
256,8,157.534
256,16,167.935
256,32,233.66
256,64,404.566
256,128,761.937
512,8,257.051
512,16,260.892
512,32,287.195
512,64,422.456
512,128,776.336
1024,8,537.432
1024,16,544.244
1024,32,556.724
1024,64,590.071
1024,128,838.545
