layer,sequences,time_us
lm_head,1,202.976
lm_head,2,186.08
lm_head,3,186.816
lm_head,4,187.648
lm_head,5,187.136
lm_head,6,187.392
lm_head,7,187.584
lm_head,8,188
lm_head,9,188.575
lm_head,10,188.384
lm_head,11,188.672
lm_head,12,188.704
lm_head,13,190.719
lm_head,14,191.649
lm_head,15,190.208
lm_head,16,190.273
lm_head,20,191.713
lm_head,24,193.28
lm_head,28,194.592
lm_head,32,194.56
lm_head,36,195.808
lm_head,40,196.224
lm_head,44,195.649
lm_head,48,195.329
lm_head,52,195.168
lm_head,56,194.912
lm_head,60,195.872
lm_head,64,197.44
sampler,1,8.032
sampler,2,9.602
sampler,3,9.246
sampler,4,9.568
sampler,5,9.503
sampler,6,9.696
sampler,7,10.272
sampler,8,11.04
sampler,9,12.16
sampler,10,12.608
sampler,11,12.128
sampler,12,12.352
sampler,13,12.8
sampler,14,12.8
sampler,15,13.952
sampler,16,13.824
sampler,20,15.489
sampler,24,17.28
sampler,28,20.256
sampler,32,21.792
sampler,36,23.294
sampler,40,24.895
sampler,44,26.337
sampler,48,27.744
sampler,52,29.216
sampler,56,31.807
sampler,60,33.664
sampler,64,35.232
