tokens,activated_experts,time_us
1,8,110.176
2,8,196.48
2,16,196.32
4,8,367.519
4,16,366.717
4,32,367.456
8,8,124.415
8,16,208.224
8,32,375.613
8,64,712.35
16,8,145.184
16,16,229.824
16,32,395.839
16,64,726.526
16,128,1392.86
32,8,184.898
32,16,236.704
32,32,404.127
32,64,735.645
32,128,1401.47
64,8,164.993
64,16,225.951
64,32,392.257
64,64,737.693
64,128,1417.15
128,8,235.584
128,16,263.2
128,32,456.447
128,64,782.94
128,128,1475.64
256,8,380.928
256,16,379.679
256,32,478.942
256,64,806.269
256,128,1507.93
512,8,729.918
512,16,731.005
512,32,730.653
512,64,862.686
512,128,1569.62
1024,8,1476.54
1024,16,1473.34
1024,32,1478.23
1024,64,1475.45
1024,128,2661.24
