layer,sequences,time_us
lm_head,1,442.431
lm_head,2,444.577
lm_head,3,445.478
lm_head,4,446.815
lm_head,5,448.768
lm_head,6,449.194
lm_head,7,450.251
lm_head,8,451.336
lm_head,9,452.478
lm_head,10,453.867
lm_head,11,454.73
lm_head,12,456.073
lm_head,13,457.333
lm_head,14,459.307
lm_head,15,459.423
lm_head,16,461.086
lm_head,20,427.838
lm_head,24,428.499
lm_head,28,429.087
lm_head,32,430.239
lm_head,36,431.274
lm_head,40,433.438
lm_head,44,433.321
lm_head,48,433.628
lm_head,52,435.135
lm_head,56,435.626
lm_head,60,437.023
lm_head,64,437.342
lm_head,80,712.265
lm_head,96,712.668
lm_head,112,713.482
lm_head,128,714.259
