layer,sequences,time_us
lm_head,1,650.934
lm_head,3,656.896
lm_head,5,658.122
lm_head,7,660.543
lm_head,9,662.208
lm_head,11,663.743
lm_head,13,668.351
lm_head,15,669.238
lm_head,20,704.586
lm_head,28,708.693
lm_head,36,713.759
lm_head,44,717.375
lm_head,52,730.099
lm_head,60,732.266
lm_head,80,724.041
lm_head,112,734.837
lm_head,2,656.585
lm_head,4,657.535
lm_head,6,659.732
lm_head,8,661.086
lm_head,10,662.996
lm_head,12,666.933
lm_head,14,668.074
lm_head,16,669.566
lm_head,24,705.663
lm_head,32,710.666
lm_head,40,713.694
lm_head,48,728.458
lm_head,56,732.596
lm_head,64,736.724
lm_head,96,810.793
lm_head,128,779.434
