tokens,activated_experts,time_us
1,8,100.768
2,8,118.589
2,16,182.046
4,8,157.823
4,16,301.054
4,32,341.597
8,8,100.704
8,16,178.684
8,32,338.14
8,64,655.385
16,8,105.373
16,16,187.71
16,32,343.837
16,64,659.515
16,128,1289.97
32,8,113.183
32,16,189.311
32,32,348.288
32,64,665.467
32,128,1298.04
64,8,108.703
64,16,188.606
64,32,351.131
64,64,675.323
64,128,1313.3
128,8,120.096
128,16,205.535
128,32,381.756
128,64,732.442
128,128,1389.17
256,8,165.024
256,16,235.261
256,32,398.812
256,64,739.514
256,128,1415.22
512,8,299.871
512,16,301.47
512,32,448.285
512,64,784.539
512,128,1466.51
1024,8,604.441
1024,16,616.088
1024,32,632.922
1024,64,898.458
1024,128,1576.24
