layer,sequences,time_us
lm_head,1,86.554
lm_head,2,84.763
lm_head,3,84.89
lm_head,4,85.05
lm_head,5,85.69
lm_head,6,85.786
lm_head,7,86.299
lm_head,8,87.002
lm_head,9,86.202
lm_head,10,86.715
lm_head,11,86.97
lm_head,12,86.394
lm_head,13,86.555
lm_head,14,87.098
lm_head,15,87.29
lm_head,16,86.682
lm_head,20,92.538
lm_head,24,93.626
lm_head,28,93.53
lm_head,32,94.17
lm_head,36,94.681
lm_head,40,94.522
lm_head,44,95.45
lm_head,48,95.225
lm_head,52,95.353
lm_head,56,95.546
lm_head,60,95.225
lm_head,64,95.801
sampler,1,10.048
sampler,2,11.296
sampler,3,11.551
sampler,4,12.034
sampler,5,12.543
sampler,6,13.28
sampler,7,15.968
sampler,8,15.072
sampler,9,15.264
sampler,10,15.773
sampler,11,16.512
sampler,12,16.862
sampler,13,17.28
sampler,14,18.784
sampler,15,19.2
sampler,16,19.744
sampler,20,20.737
sampler,24,23.551
sampler,28,27.52
sampler,32,27.615
sampler,36,31.839
sampler,40,35.486
sampler,44,36.064
sampler,48,35.936
sampler,52,41.055
sampler,56,44.257
sampler,60,46.847
sampler,64,47.486
