tokens,activated_experts,time_us
1,8,62.176
2,8,70.983
2,16,115.919
4,8,70.088
4,16,120.175
4,32,212.73
8,8,60.968
8,16,109.644
8,32,206.104
8,64,384.719
16,8,61.705
16,16,109.87
16,32,206.649
16,64,386.735
16,128,738.779
32,8,63.304
32,16,110.925
32,32,206.618
32,64,387.95
32,128,740.121
64,8,77.547
64,16,120.525
64,32,205.338
64,64,389.232
64,128,744.12
128,8,98.218
128,16,127.407
128,32,213.946
128,64,391.826
128,128,747.992
256,8,164.594
256,16,170.068
256,32,228.505
256,64,402.898
256,128,762.524
512,8,260.127
512,16,266.24
512,32,291.941
512,64,419.347
512,128,773.79
1024,8,535.778
1024,16,541.632
1024,32,556.581
1024,64,589.703
1024,128,839.048
