layer,sequences,time_us
lm_head,1,176.834
lm_head,2,189.951
lm_head,3,190.58
lm_head,4,190.836
lm_head,5,191.22
lm_head,6,191.06
lm_head,7,191.295
lm_head,8,191.519
lm_head,9,191.476
lm_head,10,191.818
lm_head,11,192.661
lm_head,12,192.18
lm_head,13,192.991
lm_head,14,194.025
lm_head,15,193.536
lm_head,16,193.855
lm_head,20,200.884
lm_head,24,200.821
lm_head,28,202.239
lm_head,32,204.64
lm_head,36,207.85
lm_head,40,208.02
lm_head,44,209.396
lm_head,48,210.217
lm_head,52,210.751
lm_head,56,211.028
lm_head,60,211.167
lm_head,64,211.892
lm_head,80,215.575
lm_head,96,218.804
lm_head,112,219.935
lm_head,128,223.051
