layer,sequences,time_us
lm_head,1,339.868
lm_head,2,345.309
lm_head,3,343.997
lm_head,4,347.996
lm_head,5,349.949
lm_head,6,350.459
lm_head,7,353.851
lm_head,8,354.108
lm_head,9,356.573
lm_head,10,358.364
lm_head,11,357.532
lm_head,12,360.123
lm_head,13,362.684
lm_head,14,360.796
lm_head,15,361.308
lm_head,16,362.461
lm_head,20,400.988
lm_head,24,405.724
lm_head,28,406.46
lm_head,32,410.716
lm_head,36,409.66
lm_head,40,412.252
lm_head,44,416.028
lm_head,48,419.836
lm_head,52,421.02
lm_head,56,449.34
lm_head,60,448.826
lm_head,64,451.227
sampler,1,23.52
sampler,2,24.64
sampler,3,25.312
sampler,4,25.6
sampler,5,26.496
sampler,6,30.4
sampler,7,32.224
sampler,8,31.937
sampler,9,32.64
sampler,10,33.406
sampler,11,33.92
sampler,12,38.56
sampler,13,39.52
sampler,14,39.871
sampler,15,40.704
sampler,16,41.185
sampler,20,47.616
sampler,24,51.743
sampler,28,58.175
sampler,32,63.135
sampler,36,67.551
sampler,40,73.919
sampler,44,79.583
sampler,48,82.623
sampler,52,91.36
sampler,56,96.223
sampler,60,106.271
sampler,64,110.015
