prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.744
0,0,1,32,7.776
0,0,1,64,9.568
0,0,1,128,13.215
0,0,1,256,13.439
0,0,1,512,13.92
0,0,1,1024,14.624
0,0,1,2048,16.287
0,0,2,16,11.873
0,0,2,32,11.904
0,0,2,64,13.632
0,0,2,128,16.511
0,0,2,256,16.672
0,0,2,512,17.281
0,0,2,1024,18.368
0,0,2,2048,20.704
0,0,4,16,12.16
0,0,4,32,12.032
0,0,4,64,13.824
0,0,4,128,16.479
0,0,4,256,16.897
0,0,4,512,17.856
0,0,4,1024,19.712
0,0,4,2048,27.04
0,0,8,16,11.839
0,0,8,32,11.872
0,0,8,64,13.728
0,0,8,128,16.671
0,0,8,256,17.28
0,0,8,512,18.849
0,0,8,1024,25.408
0,0,8,2048,37.408
0,0,16,16,12.191
0,0,16,32,12.287
0,0,16,64,14.05
0,0,16,128,17.377
0,0,16,256,18.656
0,0,16,512,24.638
0,0,16,1024,36.607
0,0,16,2048,53.153
0,0,32,16,12.383
0,0,32,32,12.639
0,0,32,64,14.688
0,0,32,128,18.656
0,0,32,256,24.735
0,0,32,512,35.968
0,0,32,1024,51.073
0,0,32,2048,95.455
0,0,64,16,12.83
0,0,64,32,13.856
0,0,64,64,16.802
0,0,64,128,25.504
0,0,64,256,34.59
0,0,64,512,54.529
0,0,64,1024,105.44
0,0,64,2048,192.543
16,0,0,0,9.728
16,0,1,16,9.664
16,0,1,32,9.665
16,0,1,64,9.664
16,0,1,128,12.961
16,0,1,256,16.865
16,0,1,512,24.993
16,0,1,1024,41.408
16,0,1,2048,74.143
16,0,2,16,9.728
16,0,2,32,9.696
16,0,2,64,9.728
16,0,2,128,12.993
16,0,2,256,16.96
16,0,2,512,25.056
16,0,2,1024,41.6
16,0,2,2048,74.24
16,0,4,16,9.825
16,0,4,32,9.792
16,0,4,64,9.792
16,0,4,128,13.055
16,0,4,256,17.088
16,0,4,512,25.248
16,0,4,1024,41.824
16,0,4,2048,75.103
16,0,8,16,15.425
16,0,8,32,15.36
16,0,8,64,15.648
16,0,8,128,22.08
16,0,8,256,28.993
16,0,8,512,37.728
16,0,8,1024,53.823
16,0,8,2048,86.88
16,0,16,16,20.735
16,0,16,32,20.896
16,0,16,64,21.024
16,0,16,128,29.408
16,0,16,256,38.785
16,0,16,512,54.591
16,0,16,1024,87.201
16,0,16,2048,151.648
16,0,32,16,31.424
16,0,32,32,31.872
16,0,32,64,32.288
16,0,32,128,48.352
16,0,32,256,65.344
16,0,32,512,96.704
16,0,32,1024,161.632
16,0,32,2048,291.231
16,16,0,0,9.792
16,16,1,16,9.921
16,16,1,32,9.888
16,16,1,64,9.825
16,16,1,128,12.993
16,16,1,256,16.896
16,16,1,512,25.024
16,16,1,1024,41.472
16,16,1,2048,74.24
16,16,2,16,9.888
16,16,2,32,9.92
16,16,2,64,9.919
16,16,2,128,12.991
16,16,2,256,16.96
16,16,2,512,25.057
16,16,2,1024,41.504
16,16,2,2048,74.368
16,16,4,16,9.984
16,16,4,32,10.016
16,16,4,64,10.08
16,16,4,128,13.055
16,16,4,256,17.152
16,16,4,512,25.344
16,16,4,1024,41.792
16,16,4,2048,74.528
16,16,8,16,15.648
16,16,8,32,15.648
16,16,8,64,15.775
16,16,8,128,22.047
16,16,8,256,29.664
16,16,8,512,38.112
16,16,8,1024,54.303
16,16,8,2048,86.944
16,16,16,16,20.736
16,16,16,32,21.184
16,16,16,64,21.216
16,16,16,128,29.728
16,16,16,256,38.528
16,16,16,512,54.561
16,16,16,1024,87.136
16,16,16,2048,151.392
16,16,32,16,31.552
16,16,32,32,31.839
16,16,32,64,32.352
16,16,32,128,48.415
16,16,32,256,65.152
16,16,32,512,96.896
16,16,32,1024,161.728
16,16,32,2048,290.688
16,32,0,0,9.856
16,32,1,16,9.824
16,32,1,32,9.952
16,32,1,64,9.888
16,32,1,128,12.96
16,32,1,256,16.928
16,32,1,512,24.992
16,32,1,1024,41.408
16,32,1,2048,74.335
16,32,2,16,9.888
16,32,2,32,9.92
16,32,2,64,9.92
16,32,2,128,12.96
16,32,2,256,16.896
16,32,2,512,25.056
16,32,2,1024,41.471
16,32,2,2048,74.368
16,32,4,16,10.017
16,32,4,32,10.016
16,32,4,64,10.08
16,32,4,128,13.119
16,32,4,256,17.089
16,32,4,512,25.377
16,32,4,1024,41.791
16,32,4,2048,74.591
16,32,8,16,15.583
16,32,8,32,15.52
16,32,8,64,15.745
16,32,8,128,22.112
16,32,8,256,29.599
16,32,8,512,37.823
16,32,8,1024,54.944
16,32,8,2048,86.719
16,32,16,16,20.863
16,32,16,32,21.088
16,32,16,64,21.216
16,32,16,128,29.76
16,32,16,256,38.785
16,32,16,512,54.944
16,32,16,1024,87.04
16,32,16,2048,151.519
16,32,32,16,31.424
16,32,32,32,31.937
16,32,32,64,32.512
16,32,32,128,48.832
16,32,32,256,65.407
16,32,32,512,97.566
16,32,32,1024,161.663
16,32,32,2048,290.848
16,64,0,0,9.919
16,64,1,16,9.824
16,64,1,32,10.047
16,64,1,64,9.856
