tokens,activated_experts,time_us
1,8,102.91
2,8,119.967
2,16,183.005
4,8,160.383
4,16,303.039
4,32,342.844
8,8,102.432
8,16,179.84
8,32,340.156
8,64,656.827
16,8,107.07
16,16,189.278
16,32,345.629
16,64,660.539
16,128,1291.51
32,8,116
32,16,191.774
32,32,349.981
32,64,667.642
32,128,1300.34
64,8,112.733
64,16,191.454
64,32,356.383
64,64,678.554
64,128,1315.16
128,8,123.487
128,16,207.453
128,32,382.27
128,64,725.177
128,128,1393.5
256,8,164.799
256,16,235.742
256,32,398.301
256,64,746.488
256,128,1415.22
512,8,298.62
512,16,301.309
512,32,448.06
512,64,790.266
512,128,1481.71
1024,8,605.435
1024,16,617.275
1024,32,631.995
1024,64,888.728
1024,128,1567
