layer,sequences,time_us
lm_head,1,1403.58
lm_head,3,1424.73
lm_head,5,1429.44
lm_head,7,1431.87
lm_head,9,1436.81
lm_head,11,1437.76
lm_head,13,1443.01
lm_head,15,1442.82
lm_head,20,1500.55
lm_head,28,1503.12
lm_head,36,1509.51
lm_head,44,1514.41
lm_head,52,1521.37
lm_head,60,1523.13
lm_head,80,2535.54
lm_head,112,2539.34
lm_head,2,1423.35
lm_head,4,1426.15
lm_head,6,1429.73
lm_head,8,1434.01
lm_head,10,1439.61
lm_head,12,1442.26
lm_head,14,1444.07
lm_head,16,1444.3
lm_head,24,1504.98
lm_head,32,1508.5
lm_head,40,1510.38
lm_head,48,1516.01
lm_head,56,1522.82
lm_head,64,1522.82
lm_head,96,2537.5
lm_head,128,2545.09
