layer,sequences,time_us
lm_head,1,61.184
lm_head,2,68.6817
lm_head,3,69.248
lm_head,4,69.3867
lm_head,5,69.9523
lm_head,6,70.7093
lm_head,7,71.2427
lm_head,8,67.9353
lm_head,9,68.1173
lm_head,10,68.2347
lm_head,11,68.4797
lm_head,12,68.48
lm_head,13,68.576
lm_head,14,68.747
lm_head,15,68.8
lm_head,16,68.8637
lm_head,20,69.344
lm_head,24,69.3443
lm_head,28,69.6853
lm_head,32,69.8987
lm_head,36,63.9043
lm_head,40,64.181
lm_head,44,65.3757
lm_head,48,65.9093
lm_head,52,65.3227
lm_head,56,66.2187
lm_head,60,66.112
lm_head,64,66.4213
lm_head,80,103.616
lm_head,96,88.7573
lm_head,112,84.1173
lm_head,128,84.2247
