layer,sequences,time_us
lm_head,1,550.933
lm_head,2,556.83
lm_head,3,557.172
lm_head,4,558.068
lm_head,5,558.75
lm_head,6,559.422
lm_head,7,560.5
lm_head,8,561.609
lm_head,9,560.447
lm_head,10,562.036
lm_head,11,562.559
lm_head,12,563.028
lm_head,13,564.681
lm_head,14,565.119
lm_head,15,565.343
lm_head,16,565.983
lm_head,20,601.545
lm_head,24,605.192
lm_head,28,587.305
lm_head,32,589.759
lm_head,36,587.145
lm_head,40,593.705
lm_head,44,594.015
lm_head,48,591.082
lm_head,52,592.372
lm_head,56,592.403
lm_head,60,596.778
lm_head,64,597.63
lm_head,80,613.161
lm_head,96,615.923
lm_head,112,644.158
lm_head,128,648.339
lm_head,144,655.325
lm_head,160,666.579
lm_head,176,690.536
lm_head,192,718.386
lm_head,208,856.826
lm_head,224,858.799
lm_head,240,861.732
lm_head,256,864.452
sampler,1,25.001
sampler,2,26.932
sampler,3,26.8787
sampler,4,27.071
sampler,5,27.4653
sampler,6,27.935
sampler,7,29.0977
sampler,8,29.257
sampler,9,29.4707
sampler,10,29.417
sampler,11,30.026
sampler,12,30.121
sampler,13,30.8257
sampler,14,31.327
sampler,15,31.6357
sampler,16,31.519
sampler,20,32.9803
sampler,24,33.8333
sampler,28,35.4657
sampler,32,36.8307
sampler,36,37.8557
sampler,40,39.455
sampler,44,40.5967
sampler,48,41.8013
sampler,52,43.114
sampler,56,43.7323
sampler,60,44.9373
sampler,64,46.8363
sampler,80,57.9293
sampler,96,68.9913
sampler,112,92.8203
sampler,128,109.3
sampler,144,131.263
sampler,160,151.188
sampler,176,174.911
sampler,192,198.551
sampler,208,230.196
sampler,224,254.272
sampler,240,280.308
sampler,256,310.944
