tokens,activated_experts,time_us
1,8,109.792
2,8,197.057
2,16,197.054
4,8,367.551
4,16,367.198
4,32,367.775
8,8,124.769
8,16,208.703
8,32,378.014
8,64,712.445
16,8,145.248
16,16,229.343
16,32,395.806
16,64,726.656
16,128,1393.37
32,8,186.078
32,16,237.024
32,32,404.767
32,64,735.806
32,128,1402.36
64,8,159.776
64,16,225.63
64,32,393.086
64,64,738.427
64,128,1417.28
128,8,236.001
128,16,297.183
128,32,454.654
128,64,781.149
128,128,1471.96
256,8,379.807
256,16,380.958
256,32,479.675
256,64,804.094
256,128,1507.42
512,8,732.477
512,16,731.71
512,32,730.461
512,64,863.9
512,128,1569.95
1024,8,1475.13
1024,16,1475.45
1024,32,1475.29
1024,64,1474.11
1024,128,2665.88
