layer,sequences,time_us
lm_head,1,651.083
lm_head,2,655.446
lm_head,3,656.266
lm_head,4,657.793
lm_head,5,658.07
lm_head,6,658.869
lm_head,7,659.52
lm_head,8,660.597
lm_head,9,660.993
lm_head,10,661.802
lm_head,11,662.763
lm_head,12,665.527
lm_head,13,665.473
lm_head,14,665.579
lm_head,15,666.091
lm_head,16,665.761
lm_head,20,700.768
lm_head,24,703.895
lm_head,28,705.58
lm_head,32,706.839
lm_head,36,710.923
lm_head,40,713.59
lm_head,44,715.713
lm_head,48,728.3
lm_head,52,729.504
lm_head,56,731.724
lm_head,60,735.553
lm_head,64,735.446
lm_head,80,721.613
lm_head,96,804.098
lm_head,112,729.527
lm_head,128,764.043
