prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.50967
0,0,1,64,9.46133
0,0,1,256,13.323
0,0,1,1024,14.2717
0,0,1,4096,22.688
0,0,1,16384,41.258
0,0,2,32,12.0003
0,0,2,128,16.4583
0,0,2,512,17.6533
0,0,2,2048,26.7187
0,0,2,8192,55.167
0,0,4,16,12.0007
0,0,4,64,13.8247
0,0,4,256,17.2153
0,0,4,1024,25.1943
0,0,4,4096,53.0973
0,0,4,16384,160.264
0,0,8,32,12.1383
0,0,8,128,17.1093
0,0,8,512,24.5647
0,0,8,2048,52.575
0,0,8,8192,161.705
0,0,16,16,12.427
0,0,16,64,14.6667
0,0,16,256,24.7037
0,0,16,1024,50.6553
0,0,16,4096,162.622
0,0,16,16384,588.129
0,0,32,32,14.0473
0,0,32,128,25.6957
0,0,32,512,53.685
0,0,32,2048,165.405
0,0,32,8192,589.281
0,0,64,16,15.3913
0,0,64,64,22.346
0,0,64,256,48.8953
0,0,64,1024,163.677
0,0,64,4096,586.626
0,0,64,16384,2277.25
0,0,128,32,24.1487
0,0,128,128,52.3087
0,0,128,512,173.681
0,0,128,2048,599.02
0,0,128,8192,2285.23
16,0,0,0,9.909
16,0,1,32,9.73833
16,0,1,128,12.8637
16,0,1,512,24.7677
16,0,1,2048,72.916
16,0,1,8192,265.382
16,0,2,16,9.856
16,0,2,64,9.888
16,0,2,256,16.864
16,0,2,1024,40.9697
16,0,2,4096,137.331
16,0,2,16384,524.76
16,0,4,32,9.88767
16,0,4,128,13.0347
16,0,4,512,25.2687
16,0,4,2048,73.8653
16,0,4,8192,266.587
16,0,8,16,15.264
16,0,8,64,15.509
16,0,8,256,29.92
16,0,8,1024,54.4523
16,0,8,4096,150.889
16,0,8,16384,539.299
16,0,16,32,20.992
16,0,16,128,30.026
16,0,16,512,55.4017
16,0,16,2048,151.656
16,0,16,8192,542.018
16,0,32,16,31.9777
16,0,32,64,32.885
16,0,32,256,65.6097
16,0,32,1024,160.755
16,0,32,4096,549.144
16,0,32,16384,2140.7
16,0,64,32,53.9723
16,0,64,128,85.3533
16,0,64,512,188.349
16,0,64,2048,594.594
16,0,64,8192,2355.43
16,16,0,0,9.99433
16,16,1,32,9.90933
16,16,1,128,12.8953
16,16,1,512,24.8533
16,16,1,2048,72.959
16,16,1,8192,265.468
16,16,2,16,9.941
16,16,2,64,10.0797
16,16,2,256,16.917
16,16,2,1024,41.034
16,16,2,4096,137.406
16,16,2,16384,523.939
16,16,4,32,10.112
16,16,4,128,13.0347
16,16,4,512,25.2907
16,16,4,2048,73.684
16,16,4,8192,266.48
16,16,8,16,15.4987
16,16,8,64,15.9353
16,16,8,256,30.282
16,16,8,1024,54.815
16,16,8,4096,151.176
16,16,8,16384,538.765
16,16,16,32,21.2903
16,16,16,128,29.8767
16,16,16,512,55.231
16,16,16,2048,151.443
16,16,16,8192,542.732
16,16,32,16,31.9247
16,16,32,64,32.9597
16,16,32,256,65.503
16,16,32,1024,161.128
16,16,32,4096,548.077
16,16,32,16384,2141.97
16,16,64,32,53.9937
16,16,64,128,85.4057
16,16,64,512,188.37
16,16,64,2048,594.764
16,16,64,8192,2351.1
16,32,0,0,10.0903
16,32,1,32,9.909
16,32,1,128,12.8423
16,32,1,512,24.7997
16,32,1,2048,72.9483
16,32,1,8192,265.393
16,32,2,16,9.92
16,32,2,64,10.069
16,32,2,256,16.8957
16,32,2,1024,40.9387
16,32,2,4096,137.278
16,32,2,16384,524.131
16,32,4,32,10.0907
16,32,4,128,13.013
16,32,4,512,25.3113
16,32,4,2048,73.7053
16,32,4,8192,266.715
16,32,8,16,15.5837
16,32,8,64,15.9997
16,32,8,256,29.931
16,32,8,1024,55.4973
16,32,8,4096,151.038
16,32,8,16384,539.117
16,32,16,32,21.3547
16,32,16,128,29.8027
16,32,16,512,55.8277
16,32,16,2048,151.912
16,32,16,8192,543.171
16,32,32,16,31.999
16,32,32,64,32.9483
16,32,32,256,65.471
16,32,32,1024,161.821
16,32,32,4096,548.536
16,32,32,16384,2141.82
16,32,64,32,53.9723
16,32,64,128,85.7483
16,32,64,512,188.285
16,32,64,2048,594.764
16,32,64,8192,2354.75
16,64,0,0,10.1547
16,64,1,32,10.0267
16,64,1,128,12.8637
16,64,1,512,24.7993
16,64,1,2048,72.959
16,64,1,8192,265.564
16,64,2,16,9.973
16,64,2,64,10.0797
16,64,2,256,16.9173
16,64,2,1024,41.024
16,64,2,4096,137.331
16,64,2,16384,524.493
16,64,4,32,10.1123
16,64,4,128,13.0767
16,64,4,512,25.3437
16,64,4,2048,73.8337
16,64,4,8192,266.513
16,64,8,16,15.712
16,64,8,64,16.075
16,64,8,256,30.2613
16,64,8,1024,55.5187
16,64,8,4096,151.154
16,64,8,16384,539.671
16,64,16,32,21.461
16,64,16,128,30.1863
16,64,16,512,55.274
16,64,16,2048,152.659
16,64,16,8192,542.445
16,64,32,16,32.085
16,64,32,64,32.8847
16,64,32,256,65.663
16,64,32,1024,161.299
16,64,32,4096,547.917
16,64,32,16384,2140.16
16,64,64,32,53.972
16,64,64,128,85.545
16,64,64,512,188.85
16,64,64,2048,595.628
16,64,64,8192,2360.81
16,128,0,0,13.9307
16,128,1,32,12.981
16,128,1,128,13.632
16,128,1,512,24.7893
16,128,1,2048,72.959
16,128,1,8192,265.425
16,128,2,16,13.0133
16,128,2,64,13.0557
16,128,2,256,16.8953
16,128,2,1024,41.034
16,128,2,4096,137.213
16,128,2,16384,524.355
16,128,4,32,13.0667
16,128,4,128,13.8773
16,128,4,512,25.2897
16,128,4,2048,73.8977
16,128,4,8192,266.513
16,128,8,16,19.541
16,128,8,64,19.9033
16,128,8,256,30.5917
16,128,8,1024,63.103
16,128,8,4096,159.368
16,128,8,16384,545.922
16,128,16,32,25.333
16,128,16,128,33.205
16,128,16,512,59.1887
16,128,16,2048,155.689
16,128,16,8192,545.912
16,128,32,16,36.0637
16,128,32,64,36.7777
16,128,32,256,69.3967
16,128,32,1024,165.672
16,128,32,4096,551.724
16,128,32,16384,2138.92
16,128,64,32,58.047
16,128,64,128,88.575
16,128,64,512,193.096
16,128,64,2048,596.993
16,128,64,8192,2355.81
16,256,0,0,17.8017
16,256,1,32,16.9487
16,256,1,128,16.939
16,256,1,512,24.8207
16,256,1,2048,72.916
16,256,1,8192,265.479
16,256,2,16,17.034
16,256,2,64,17.0023
16,256,2,256,17.7383
16,256,2,1024,41.0763
16,256,2,4096,137.362
16,256,2,16384,524.226
16,256,4,32,17.0347
16,256,4,128,17.1413
16,256,4,512,25.3007
16,256,4,2048,73.6523
16,256,4,8192,266.652
16,256,8,16,23.5093
16,256,8,64,23.86
16,256,8,256,32.1697
16,256,8,1024,71.1773
16,256,8,4096,167.305
16,256,8,16384,552.364
16,256,16,32,29.3327
16,256,16,128,37.5033
16,256,16,512,63.9777
16,256,16,2048,160.008
16,256,16,8192,551.244
16,256,32,16,40.0737
16,256,32,64,40.9807
16,256,32,256,72.5213
16,256,32,1024,169.341
16,256,32,4096,556.545
16,256,32,16384,2140.85
16,256,64,32,62.2283
16,256,64,128,92.628
16,256,64,512,197.587
16,256,64,2048,600.416
16,256,64,8192,2367.75
16,512,0,0,25.6953
16,512,1,32,24.885
16,512,1,128,24.885
16,512,1,512,25.4717
16,512,1,2048,72.9587
16,512,1,8192,265.532
16,512,2,16,24.906
16,512,2,64,24.9593
16,512,2,256,24.9917
16,512,2,1024,41.0763
16,512,2,4096,137.352
16,512,2,16384,523.596
16,512,4,32,25.0133
16,512,4,128,25.0557
16,512,4,512,25.7697
16,512,4,2048,73.8227
16,512,4,8192,266.513
16,512,8,16,31.5837
16,512,8,64,31.9567
16,512,8,256,40.5117
16,512,8,1024,79.22
16,512,8,4096,182.642
16,512,8,16384,568.215
16,512,16,32,37.3117
16,512,16,128,45.3433
16,512,16,512,69.844
16,512,16,2048,167.763
16,512,16,8192,558.445
16,512,32,16,48.0843
16,512,32,64,48.9057
16,512,32,256,80.5003
16,512,32,1024,177.49
16,512,32,4096,564.599
16,512,32,16384,2146.48
16,512,64,32,70.3563
16,512,64,128,100.895
16,512,64,512,203.73
16,512,64,2048,609.633
16,512,64,8192,2358.75
16,1024,0,0,41.5787
16,1024,1,32,40.8853
16,1024,1,128,40.927
16,1024,1,512,41.0233
16,1024,1,2048,73.0227
