layer,sequences,time_us
lm_head,1,779.289
lm_head,3,728.739
lm_head,5,729.24
lm_head,7,731.95
lm_head,9,733.645
lm_head,11,734.331
lm_head,13,734.991
lm_head,15,736.226
lm_head,20,782.935
lm_head,28,786.629
lm_head,36,788.974
lm_head,44,791.724
lm_head,52,794.56
lm_head,60,794.881
lm_head,80,1274.65
lm_head,112,1280.45
lm_head,2,726.305
lm_head,4,729.214
lm_head,6,730.721
lm_head,8,732.65
lm_head,10,732.884
lm_head,12,734.805
lm_head,14,735.987
lm_head,16,736.906
lm_head,24,784.52
lm_head,32,786.367
lm_head,40,789.44
lm_head,48,794.143
lm_head,56,796.448
lm_head,64,796.17
lm_head,96,1278.64
lm_head,128,1286.33
