layer,sequences,time_us
lm_head,1,191.296
lm_head,2,217.332
lm_head,3,219.348
lm_head,4,219.947
lm_head,5,222.846
lm_head,6,221.355
lm_head,7,225.428
lm_head,8,224.468
lm_head,9,227.123
lm_head,10,228.096
lm_head,11,229.174
lm_head,12,230.549
lm_head,13,231.285
lm_head,14,231.786
lm_head,15,233.291
lm_head,16,234.409
lm_head,20,211.018
lm_head,24,212.777
lm_head,28,214.676
lm_head,32,216.022
lm_head,36,223.092
lm_head,40,223.521
lm_head,44,224.992
lm_head,48,225.139
lm_head,52,225.983
lm_head,56,226.753
lm_head,60,227.115
lm_head,64,227.593
lm_head,80,268.407
lm_head,96,270.208
lm_head,112,273.472
lm_head,128,274.57
