tokens,activated_experts,time_us
1,8,100.385
2,8,120.577
2,16,183.937
4,8,159.777
4,16,303.842
4,32,343.488
8,8,102.88
8,16,181.602
8,32,340.384
8,64,658.435
16,8,108.866
16,16,189.119
16,32,346.496
16,64,661.922
16,128,1292.74
32,8,116.832
32,16,194.143
32,32,350.786
32,64,668.643
32,128,1300.32
64,8,113.216
64,16,192.672
64,32,355.584
64,64,677.859
64,128,1316.38
128,8,124.224
128,16,209.793
128,32,384.578
128,64,727.201
128,128,1386.91
256,8,164.353
256,16,240.545
256,32,403.041
256,64,744.485
256,128,1416.67
512,8,299.295
512,16,301.759
512,32,443.939
512,64,787.171
512,128,1473.44
1024,8,605.086
1024,16,616.254
1024,32,631.65
1024,64,887.971
1024,128,1567.56
