prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.712
0,0,1,32,7.679
0,0,1,64,9.504
0,0,1,128,13.44
0,0,1,256,13.695
0,0,1,512,14.208
0,0,1,1024,15.103
0,0,1,2048,17.248
0,0,2,16,12.065
0,0,2,32,12.16
0,0,2,64,13.92
0,0,2,128,16.543
0,0,2,256,16.736
0,0,2,512,17.568
0,0,2,1024,19.456
0,0,2,2048,26.654
0,0,4,16,12.096
0,0,4,32,12.096
0,0,4,64,13.952
0,0,4,128,16.671
0,0,4,256,17.344
0,0,4,512,18.912
0,0,4,1024,25.376
0,0,4,2048,37.632
0,0,8,16,12.512
0,0,8,32,12.48
0,0,8,64,14.208
0,0,8,128,17.247
0,0,8,256,18.752
0,0,8,512,24.927
0,0,8,1024,36.703
0,0,8,2048,52.96
0,0,16,16,12.48
0,0,16,32,12.991
0,0,16,64,14.847
0,0,16,128,18.753
0,0,16,256,24.64
0,0,16,512,36.129
0,0,16,1024,52.096
0,0,16,2048,98.56
0,0,32,16,12.864
0,0,32,32,13.984
0,0,32,64,16.865
0,0,32,128,25.472
0,0,32,256,35.007
0,0,32,512,56.416
0,0,32,1024,106.016
0,0,32,2048,187.87
0,0,64,16,15.774
0,0,64,32,18.367
0,0,64,64,23.68
0,0,64,128,35.872
0,0,64,256,60.415
0,0,64,512,110.367
0,0,64,1024,194.077
0,0,64,2048,339.899
16,0,0,0,9.759
16,0,1,16,9.889
16,0,1,32,9.92
16,0,1,64,9.888
16,0,1,128,13.057
16,0,1,256,17.12
16,0,1,512,25.119
16,0,1,1024,41.631
16,0,1,2048,74.399
16,0,2,16,9.888
16,0,2,32,9.952
16,0,2,64,9.984
16,0,2,128,13.087
16,0,2,256,17.183
16,0,2,512,25.408
16,0,2,1024,41.888
16,0,2,2048,74.592
16,0,4,16,15.264
16,0,4,32,15.296
16,0,4,64,15.552
16,0,4,128,21.984
16,0,4,256,29.92
16,0,4,512,43.807
16,0,4,1024,58.688
16,0,4,2048,91.487
16,0,8,16,20.799
