layer,sequences,time_us
lm_head,1,773.857
lm_head,2,738.934
lm_head,3,740.376
lm_head,4,740.343
lm_head,5,741.421
lm_head,6,741.303
lm_head,7,741.771
lm_head,8,742.242
lm_head,9,742.539
lm_head,10,741.709
lm_head,11,742.112
lm_head,12,743.244
lm_head,13,742.977
lm_head,14,744.023
lm_head,15,744.321
lm_head,16,745.058
lm_head,20,744.095
lm_head,24,745.261
lm_head,28,747.254
lm_head,32,746.316
lm_head,36,748.3
lm_head,40,748.501
lm_head,44,750.263
lm_head,48,750.518
lm_head,52,750.806
lm_head,56,751.361
lm_head,60,752.983
lm_head,64,753.452
lm_head,80,765.495
lm_head,96,769.911
lm_head,112,770.967
lm_head,128,774.051
