layer,sequences,time_us
lm_head,1,244.021
lm_head,2,244.885
lm_head,3,245.173
lm_head,4,245.707
lm_head,5,246.815
lm_head,6,247.156
lm_head,7,246.507
lm_head,8,247.658
lm_head,9,248.586
lm_head,10,249.088
lm_head,11,249.024
lm_head,12,249.08
lm_head,13,250.519
lm_head,14,250.016
lm_head,15,252.054
lm_head,16,252.341
lm_head,20,211.754
lm_head,24,214.25
lm_head,28,214.964
lm_head,32,237.514
lm_head,36,237.674
lm_head,40,238.324
lm_head,44,238.698
lm_head,48,239.081
lm_head,52,239.529
lm_head,56,239.372
lm_head,60,239.338
lm_head,64,239.765
lm_head,80,372.211
lm_head,96,406.484
lm_head,112,407.785
lm_head,128,408.532
