tokens,activated_experts,time_us
1,8,109.12
2,8,195.903
2,16,198.431
4,8,366.847
4,16,366.942
4,32,366.144
8,8,124.48
8,16,208.576
8,32,375.808
8,64,710.844
16,8,145.728
16,16,229.28
16,32,395.969
16,64,725.629
16,128,1392.22
32,8,186.75
32,16,237.727
32,32,405.375
32,64,736.414
32,128,1403.13
64,8,168.128
64,16,226.622
64,32,393.692
64,64,736.51
64,128,1416.99
128,8,235.584
128,16,265.023
128,32,457.632
128,64,783.998
128,128,1479.29
256,8,381.312
256,16,379.934
256,32,478.718
256,64,807.26
256,128,1508.57
512,8,730.751
512,16,734.653
512,32,731.101
512,64,868.543
512,128,1563.8
1024,8,1476.25
1024,16,1476.96
1024,32,1474.01
1024,64,1474.65
1024,128,2661.27
