layer,sequences,time_us
lm_head,1,139.038
lm_head,2,157.021
lm_head,3,165.34
lm_head,4,171.581
lm_head,5,177.244
lm_head,6,177.052
lm_head,7,180.572
lm_head,8,182.397
lm_head,9,183.196
lm_head,10,183.325
lm_head,11,183.868
lm_head,12,183.164
lm_head,13,183.868
lm_head,14,183.773
lm_head,15,184.445
lm_head,16,184.413
lm_head,20,185.757
lm_head,24,187.868
lm_head,28,186.492
lm_head,32,185.277
lm_head,36,189.533
lm_head,40,188.765
lm_head,44,188.605
lm_head,48,188.956
lm_head,52,186.556
lm_head,56,186.044
lm_head,60,186.364
lm_head,64,186.236
lm_head,80,187.036
lm_head,96,185.661
lm_head,112,190.108
lm_head,128,190.973
lm_head,144,189.084
lm_head,160,201.117
lm_head,176,198.588
lm_head,192,199.069
lm_head,208,237.979
lm_head,224,222.683
lm_head,240,223.708
lm_head,256,226.812
