layer,tokens,time_us
act_fn,1,1.55733
act_fn,3,1.54667
act_fn,5,1.568
act_fn,7,1.61067
act_fn,9,1.6
act_fn,11,1.61033
act_fn,13,1.61067
act_fn,15,1.63167
act_fn,20,1.64267
act_fn,28,1.66367
act_fn,36,1.65267
act_fn,44,1.65333
act_fn,52,1.65333
act_fn,60,1.685
act_fn,80,1.792
act_fn,112,1.888
act_fn,144,2.32533
act_fn,176,2.93333
act_fn,208,3.05067
act_fn,240,3.06133
act_fn,272,3.06067
act_fn,304,3.2
act_fn,336,3.37033
act_fn,368,3.946
act_fn,400,3.90333
act_fn,432,3.968
act_fn,464,3.968
act_fn,496,4.05333
act_fn,528,4.554
act_fn,560,4.501
act_fn,592,4.61867
act_fn,624,4.73567
act_fn,656,4.885
act_fn,688,5.40733
act_fn,720,5.54667
act_fn,752,5.632
act_fn,784,5.621
act_fn,816,5.717
act_fn,848,5.93
act_fn,880,6.485
act_fn,912,6.70833
act_fn,944,6.57
act_fn,976,6.752
act_fn,1008,7.01867
act_fn,1040,7.32767
act_fn,1072,7.466
act_fn,1104,8.053
act_fn,1136,8.21267
act_fn,1168,8.223
act_fn,1200,8.81033
act_fn,1232,8.38333
act_fn,1264,8.565
act_fn,1296,8.84233
act_fn,1328,9.536
act_fn,1360,10.8257
act_fn,1392,11.4233
act_fn,1424,11.2423
act_fn,1456,11.4237
act_fn,1488,10.6453
act_fn,1520,10.7407
act_fn,1552,12.2877
act_fn,1584,13.0233
act_fn,1616,13.653
act_fn,1648,13.802
act_fn,1680,13.4607
act_fn,1712,14.058
act_fn,1744,14.282
act_fn,1776,14.7723
act_fn,1808,15.7643
act_fn,1840,16.4367
act_fn,1872,17.193
act_fn,1904,18.09
act_fn,1936,18.644
act_fn,1968,19.5937
act_fn,2000,20.4363
act_fn,2032,21.0123
down_proj,1,32.5313
down_proj,3,38.3233
down_proj,5,38.9633
down_proj,7,38.525
down_proj,9,37.8967
down_proj,11,38.707
down_proj,13,38.782
down_proj,15,38.643
down_proj,20,36.4887
down_proj,28,36.3187
down_proj,36,36.66
down_proj,44,36.9047
down_proj,52,37.0113
down_proj,60,37.054
down_proj,80,43.934
down_proj,112,44.4557
down_proj,144,57.2127
down_proj,176,58.631
down_proj,208,73.3503
down_proj,240,73.2547
down_proj,272,74.4597
down_proj,304,74.78
down_proj,336,104.325
down_proj,368,105.327
down_proj,400,106.224
down_proj,432,106.799
down_proj,464,139.491
down_proj,496,139.278
down_proj,528,143.918
down_proj,560,144.248
down_proj,592,144.835
down_proj,624,145.293
down_proj,656,188.587
down_proj,688,189.6
down_proj,720,189.589
down_proj,752,190.123
down_proj,784,191.509
down_proj,816,192.203
down_proj,848,215.636
down_proj,880,216.031
down_proj,912,216.105
down_proj,944,216.521
down_proj,976,250.823
down_proj,1008,251.357
down_proj,1040,250.131
down_proj,1072,250.237
down_proj,1104,267.527
down_proj,1136,268.519
down_proj,1168,279.547
down_proj,1200,279.878
down_proj,1232,281.403
down_proj,1264,281.841
down_proj,1296,287.845
down_proj,1328,288.283
down_proj,1360,338.424
down_proj,1392,339.373
down_proj,1424,355.895
down_proj,1456,356.578
down_proj,1488,358.337
down_proj,1520,358.487
down_proj,1552,362.209
down_proj,1584,362.647
down_proj,1616,359.116
down_proj,1648,359.628
down_proj,1680,395.872
down_proj,1712,395.754
down_proj,1744,418.494
down_proj,1776,418.878
down_proj,1808,430.536
down_proj,1840,431.049
down_proj,1872,427.133
down_proj,1904,427.336
down_proj,1936,431.198
down_proj,1968,431.517
down_proj,2000,502.319
down_proj,2032,502.756
embedding,1,2.22933
embedding,3,2.83733
embedding,5,3.37067
embedding,7,3.72267
embedding,9,4.17067
embedding,11,4.50133
embedding,13,5.07667
embedding,15,5.38667
embedding,20,2.38933
embedding,28,2.38933
embedding,36,2.34633
embedding,44,2.35733
embedding,52,2.35733
embedding,60,2.41
embedding,80,2.464
embedding,112,2.645
embedding,144,2.92267
embedding,176,3.09333
embedding,208,3.093
embedding,240,3.232
embedding,272,3.552
embedding,304,3.51967
embedding,336,3.64733
embedding,368,3.82933
embedding,400,4.032
embedding,432,4.128
embedding,464,4.17067
embedding,496,4.34133
embedding,528,4.36233
embedding,560,4.45833
embedding,592,4.512
embedding,624,4.576
embedding,656,4.65
embedding,688,4.671
embedding,720,4.789
embedding,752,4.85333
embedding,784,4.98133
embedding,816,5.01333
embedding,848,5.06633
embedding,880,5.077
embedding,912,5.19433
embedding,944,5.237
embedding,976,5.333
embedding,1008,5.53567
embedding,1040,5.568
embedding,1072,5.72767
embedding,1104,5.65333
embedding,1136,5.877
embedding,1168,5.97333
embedding,1200,5.909
embedding,1232,6.10133
embedding,1264,6.00467
embedding,1296,6.144
embedding,1328,6.282
embedding,1360,6.389
embedding,1392,6.30367
embedding,1424,6.38867
embedding,1456,6.43167
embedding,1488,6.62367
embedding,1520,6.719
embedding,1552,6.65533
embedding,1584,6.772
embedding,1616,6.86933
embedding,1648,6.92267
embedding,1680,6.97567
embedding,1712,7.00767
embedding,1744,7.15667
embedding,1776,7.16667
embedding,1808,7.221
embedding,1840,7.37067
embedding,1872,7.37067
embedding,1904,7.477
embedding,1936,7.637
embedding,1968,7.66933
embedding,2000,7.701
embedding,2032,7.80733
final_layernorm,1,1.664
final_layernorm,3,2.10133
final_layernorm,5,2.229
final_layernorm,7,2.03733
final_layernorm,9,2.10133
final_layernorm,11,2.13367
final_layernorm,13,2.17633
final_layernorm,15,2.112
final_layernorm,20,2.208
final_layernorm,28,2.18667
final_layernorm,36,2.22933
final_layernorm,44,2.336
final_layernorm,52,2.293
final_layernorm,60,2.35733
final_layernorm,80,2.52833
final_layernorm,112,2.87
final_layernorm,144,3.09367
final_layernorm,176,4.17067
final_layernorm,208,4.416
final_layernorm,240,4.41633
final_layernorm,272,3.77567
final_layernorm,304,3.968
final_layernorm,336,3.936
final_layernorm,368,4.14933
final_layernorm,400,4.55467
final_layernorm,432,4.75733
final_layernorm,464,4.94933
final_layernorm,496,5.32267
final_layernorm,528,5.24767
final_layernorm,560,5.57867
final_layernorm,592,5.78133
final_layernorm,624,5.995
final_layernorm,656,6.24
final_layernorm,688,6.54967
final_layernorm,720,7.08267
final_layernorm,752,7.04
final_layernorm,784,7.59467
final_layernorm,816,7.712
final_layernorm,848,8.69367
final_layernorm,880,9.94133
final_layernorm,912,10.4533
final_layernorm,944,10.4213
final_layernorm,976,9.088
final_layernorm,1008,9.51467
final_layernorm,1040,10.6347
final_layernorm,1072,10.8907
final_layernorm,1104,11.4347
final_layernorm,1136,11.456
final_layernorm,1168,11.2643
final_layernorm,1200,12.075
final_layernorm,1232,11.8723
final_layernorm,1264,12.0537
final_layernorm,1296,13.5897
final_layernorm,1328,14.123
final_layernorm,1360,12.0427
final_layernorm,1392,12.3523
final_layernorm,1424,12.1607
final_layernorm,1456,12.64
final_layernorm,1488,12.4267
final_layernorm,1520,12.587
final_layernorm,1552,16.7467
final_layernorm,1584,17.4083
final_layernorm,1616,17.1627
final_layernorm,1648,17.4403
final_layernorm,1680,13.4293
final_layernorm,1712,13.611
final_layernorm,1744,14.0697
final_layernorm,1776,13.931
final_layernorm,1808,20.0857
final_layernorm,1840,20.2027
final_layernorm,1872,20.5017
final_layernorm,1904,20.715
final_layernorm,1936,20.897
final_layernorm,1968,20.96
final_layernorm,2000,21.4187
final_layernorm,2032,21.8673
gate_up_proj,1,60.9037
gate_up_proj,3,62.322
gate_up_proj,5,62.877
gate_up_proj,7,62.4813
gate_up_proj,9,62.8557
gate_up_proj,11,63.09
gate_up_proj,13,63.804
