layer,sequences,time_us
lm_head,1,1299.09
lm_head,3,1308.07
lm_head,5,1311.96
lm_head,7,1319.43
lm_head,9,1323.78
lm_head,11,1324.84
lm_head,13,1326.27
lm_head,15,1331.37
lm_head,20,1407.97
lm_head,28,1410.11
lm_head,36,1412.77
lm_head,44,1418.88
lm_head,52,1426.32
lm_head,60,1432.84
lm_head,80,1421.34
lm_head,112,1518.34
lm_head,2,1305.87
lm_head,4,1310.78
lm_head,6,1316.9
lm_head,8,1320.53
lm_head,10,1324.07
lm_head,12,1327.12
lm_head,14,1331.01
lm_head,16,1332.64
lm_head,24,1409.37
lm_head,32,1405.38
lm_head,40,1415.72
lm_head,48,1421.16
lm_head,56,1429.01
lm_head,64,1436.5
lm_head,96,1430.95
lm_head,128,1524.38
