layer,sequences,time_us
lm_head,1,360.664
lm_head,2,357
lm_head,3,357.528
lm_head,4,358.554
lm_head,5,359.237
lm_head,6,359.706
lm_head,7,360.669
lm_head,8,361.459
lm_head,9,361.061
lm_head,10,362.074
lm_head,11,362.045
lm_head,12,362.607
lm_head,13,363.24
lm_head,14,363.443
lm_head,15,363.546
lm_head,16,364.616
lm_head,20,391.559
lm_head,24,384.264
lm_head,28,385.821
lm_head,32,386.802
lm_head,36,387.098
lm_head,40,387.674
lm_head,44,389.106
lm_head,48,389.629
lm_head,52,389.032
lm_head,56,388.633
lm_head,60,389.576
lm_head,64,390.586
lm_head,80,397.159
lm_head,96,421.572
lm_head,112,425.316
lm_head,128,429.586
