layer,sequences,time_us
lm_head,1,361.166
lm_head,2,356.889
lm_head,3,357.806
lm_head,4,358.425
lm_head,5,359.15
lm_head,6,359.822
lm_head,7,360.153
lm_head,8,360.964
lm_head,9,361.348
lm_head,10,361.807
lm_head,11,362.063
lm_head,12,362.681
lm_head,13,363.481
lm_head,14,363.492
lm_head,15,363.577
lm_head,16,364.228
lm_head,20,391.758
lm_head,24,385.497
lm_head,28,385.198
lm_head,32,386.382
lm_head,36,387.353
lm_head,40,388.505
lm_head,44,387.726
lm_head,48,388.974
lm_head,52,387.94
lm_head,56,389.604
lm_head,60,390.659
lm_head,64,390.211
lm_head,80,397.07
lm_head,96,414.723
lm_head,112,421.453
lm_head,128,424.493
