tokens,activated_experts,time_us
2,4,115.465
4,4,144.393
4,8,256.316
8,4,120.094
8,8,203.708
8,16,369.883
16,4,121.897
16,8,205.617
16,16,372.731
16,32,702.581
32,4,119.026
32,8,200.317
32,16,367.396
32,32,698.88
64,4,140.339
64,8,213.02
64,16,382.138
64,32,717.664
128,4,155.668
128,8,243.762
128,16,459.746
128,32,790.26
256,4,155.187
256,8,310.213
256,16,458.094
256,32,795.86
512,4,250.416
512,8,267.611
512,16,468.142
512,32,802.696
1024,4,480.514
1024,8,483.395
1024,16,604.705
1024,32,865.544
2048,4,950.951
2048,8,880.68
2048,16,891.517
2048,32,1115.91
