layer,sequences,time_us
lm_head,1,214.835
lm_head,2,204.595
lm_head,3,203.944
lm_head,4,204.136
lm_head,5,204.339
lm_head,6,204.968
lm_head,7,204.819
lm_head,8,204.904
lm_head,9,205.8
lm_head,10,205.331
lm_head,11,205.693
lm_head,12,205.373
lm_head,13,205.651
lm_head,14,205.864
lm_head,15,206.088
lm_head,16,205.917
lm_head,20,214.141
lm_head,24,214.686
lm_head,28,215.453
lm_head,32,215.816
lm_head,36,233.309
lm_head,40,233.746
lm_head,44,233.725
lm_head,48,233.693
lm_head,52,233.085
lm_head,56,234.184
lm_head,60,234.546
lm_head,64,234.706
lm_head,80,242.514
lm_head,96,243.698
lm_head,112,245.202
lm_head,128,246.696
