tokens,activated_experts,time_us
2,4,77.8787
4,4,78.634
4,8,127.82
8,4,78.913
8,8,128.066
8,16,222.49
16,4,79.5107
16,8,128.643
16,16,223.173
16,32,410.238
32,4,74.274
32,8,119.939
32,16,215.268
32,32,402.601
64,4,73.8043
64,8,120.44
64,16,216.646
64,32,406.046
128,4,94.8263
128,8,126.901
128,16,217.649
128,32,409.192
256,4,130.037
256,8,150.819
256,16,237.679
256,32,414.357
512,4,232.954
512,8,241.055
512,16,282.379
512,32,444.895
1024,4,426.325
1024,8,432.787
1024,16,437.683
1024,32,493.792
2048,4,651.721
2048,8,657.518
2048,16,665.577
2048,32,684.063
