layer,sequences,time_us
lm_head,1,181.088
lm_head,2,196.383
lm_head,3,198.046
lm_head,4,187.39
lm_head,5,188.415
lm_head,6,188.51
lm_head,7,190.015
lm_head,8,189.631
lm_head,9,189.791
lm_head,10,191.392
lm_head,11,191.615
lm_head,12,192.159
lm_head,13,192.383
lm_head,14,192.895
lm_head,15,193.727
lm_head,16,194.367
lm_head,20,191.263
lm_head,24,192.703
lm_head,28,192.415
lm_head,32,192.64
lm_head,36,194.655
lm_head,40,196.063
lm_head,44,197.215
lm_head,48,225.119
lm_head,52,226.943
lm_head,56,228.447
lm_head,60,228.063
lm_head,64,228.511
sampler,1,41.344
sampler,2,41.023
sampler,3,42.655
sampler,4,42.432
sampler,5,43.521
sampler,6,42.944
sampler,7,42.784
sampler,8,43.135
sampler,9,43.68
sampler,10,43.232
sampler,11,44.736
sampler,12,46.496
sampler,13,46.849
sampler,14,47.007
sampler,15,47.68
sampler,16,47.135
sampler,20,48.832
sampler,24,51.423
sampler,28,52.096
sampler,32,53.313
sampler,36,55.456
sampler,40,56.607
sampler,44,58.336
sampler,48,60.767
sampler,52,63.551
sampler,56,66.912
sampler,60,70.432
sampler,64,74.72
