tokens,activated_experts,time_us
1,8,102.335
2,8,119.999
2,16,182.558
4,8,159.328
4,16,301.854
4,32,342.268
8,8,100.543
8,16,179.263
8,32,339.26
8,64,655.962
16,8,105.854
16,16,187.166
16,32,343.996
16,64,660.537
16,128,1290
32,8,113.503
32,16,190.493
32,32,347.9
32,64,666.844
32,128,1298.39
64,8,109.789
64,16,190.175
64,32,351.933
64,64,677.179
64,128,1315.22
128,8,118.368
128,16,207.839
128,32,383.996
128,64,715.962
128,128,1387.54
256,8,166.144
256,16,237.725
256,32,405.532
256,64,746.681
256,128,1415.58
512,8,301.692
512,16,302.045
512,32,446.141
512,64,787.963
512,128,1471.25
1024,8,605.21
1024,16,615.163
1024,32,632.028
1024,64,886.298
1024,128,1568.85
