tokens,activated_experts,time_us
1,8,109.664
2,8,195.808
2,16,197.12
4,8,366.333
4,16,366.687
4,32,366.497
8,8,125.119
8,16,208.895
8,32,376.029
8,64,712.094
16,8,145.442
16,16,229.344
16,32,397.024
16,64,725.63
16,128,1391.77
32,8,183.071
32,16,237.437
32,32,403.933
32,64,735.934
32,128,1401.37
64,8,168.382
64,16,225.089
64,32,393.085
64,64,736.029
64,128,1418.59
128,8,235.935
128,16,297.312
128,32,455.709
128,64,783.292
128,128,1468.6
256,8,379.807
256,16,381.152
256,32,475.935
256,64,806.143
256,128,1512.6
512,8,729.694
512,16,730.269
512,32,731.581
512,64,863.677
512,128,1571.1
1024,8,1475.13
1024,16,1475.33
1024,32,1475
1024,64,1475.74
1024,128,2662.55
