layer,sequences,time_us
lm_head,1,683.714
lm_head,2,685.868
lm_head,3,686.102
lm_head,4,690.935
lm_head,5,692.556
lm_head,6,691.521
lm_head,7,697.25
lm_head,8,694.765
lm_head,9,698.754
lm_head,10,697.921
lm_head,11,700.813
lm_head,12,704.215
lm_head,13,704.6
lm_head,14,705.708
lm_head,15,706.007
lm_head,16,709.111
lm_head,20,724.525
lm_head,24,728.845
lm_head,28,729.229
lm_head,32,732.301
lm_head,36,734.988
lm_head,40,736.173
lm_head,44,734.53
lm_head,48,737.646
lm_head,52,739.841
lm_head,56,740.483
lm_head,60,743.064
lm_head,64,743.789
lm_head,80,812.525
lm_head,96,816.057
lm_head,112,823.651
lm_head,128,827.714
