tokens,activated_experts,time_us
1,8,61.984
2,8,71.648
2,16,117.343
4,8,71.488
4,16,120.672
4,32,213.57
8,8,63.04
8,16,109.92
8,32,205.696
8,64,384.002
16,8,63.104
16,16,110.88
16,32,206.688
16,64,384.479
16,128,738.431
32,8,65.28
32,16,112.001
32,32,208.672
32,64,387.328
32,128,739.679
64,8,77.952
64,16,120.639
64,32,206.686
64,64,390.721
64,128,744.286
128,8,99.008
128,16,130.08
128,32,215.106
128,64,394.111
128,128,752.61
256,8,156.607
256,16,170.24
256,32,234.464
256,64,402.272
256,128,767.392
512,8,255.456
512,16,261.281
512,32,286.526
512,64,421.791
512,128,776.445
1024,8,528.891
1024,16,540.703
1024,32,555.326
1024,64,588.192
1024,128,840.125
