layer,tokens,time_us
embedding,1,2.687
embedding,2,2.912
embedding,3,3.072
embedding,4,3.296
embedding,5,3.551
embedding,6,3.776
embedding,7,3.967
embedding,8,3.903
embedding,9,4.384
embedding,10,4.544
embedding,11,4.864
embedding,12,4.96
embedding,13,5.312
embedding,14,5.407
embedding,15,5.567
embedding,16,5.6
embedding,20,2.464
embedding,24,2.304
embedding,28,2.56
embedding,32,2.304
embedding,36,2.433
embedding,40,2.304
embedding,44,2.4
embedding,48,2.272
embedding,52,2.464
embedding,56,2.369
embedding,60,2.496
embedding,64,2.368
embedding,80,2.368
embedding,96,2.592
embedding,112,2.464
embedding,128,2.527
embedding,144,2.816
embedding,160,2.879
embedding,176,2.848
embedding,192,2.944
embedding,208,2.944
embedding,224,2.944
embedding,240,2.944
embedding,256,2.911
embedding,272,3.2
embedding,288,3.2
embedding,304,3.168
embedding,320,3.232
embedding,336,3.36
embedding,352,3.296
embedding,368,3.296
embedding,384,3.328
embedding,400,3.552
embedding,416,3.519
embedding,432,3.52
embedding,448,3.488
embedding,464,3.519
embedding,480,3.552
embedding,496,3.584
embedding,512,3.584
embedding,528,3.617
embedding,544,3.648
embedding,560,3.68
embedding,576,3.648
embedding,592,3.681
embedding,608,3.905
embedding,624,3.712
embedding,640,3.808
embedding,656,3.84
embedding,672,3.776
embedding,688,3.808
embedding,704,3.808
embedding,720,3.84
embedding,736,3.84
embedding,752,3.872
embedding,768,3.872
embedding,784,4
embedding,800,3.905
embedding,816,3.936
embedding,832,3.936
embedding,848,3.968
embedding,864,3.967
embedding,880,4.065
embedding,896,3.999
embedding,912,4
embedding,928,4.064
embedding,944,4.063
embedding,960,4.095
embedding,976,4.096
embedding,992,4.16
embedding,1008,4.192
embedding,1024,4.288
final_layernorm,1,1.632
final_layernorm,2,1.824
final_layernorm,3,1.728
final_layernorm,4,1.696
final_layernorm,5,1.695
final_layernorm,6,1.696
final_layernorm,7,1.92
final_layernorm,8,1.824
final_layernorm,9,1.728
final_layernorm,10,1.856
final_layernorm,11,1.728
final_layernorm,12,1.728
final_layernorm,13,1.728
final_layernorm,14,1.728
final_layernorm,15,1.728
final_layernorm,16,1.792
final_layernorm,20,1.76
final_layernorm,24,1.791
final_layernorm,28,1.856
final_layernorm,32,1.728
final_layernorm,36,1.76
final_layernorm,40,1.792
final_layernorm,44,1.856
final_layernorm,48,1.792
final_layernorm,52,1.856
final_layernorm,56,1.824
final_layernorm,60,1.952
final_layernorm,64,1.856
final_layernorm,80,1.92
final_layernorm,96,2.016
final_layernorm,112,2.016
final_layernorm,128,2.112
final_layernorm,144,2.144
final_layernorm,160,2.176
final_layernorm,176,3.008
final_layernorm,192,2.815
final_layernorm,208,2.944
final_layernorm,224,3.232
final_layernorm,240,3.04
final_layernorm,256,2.272
final_layernorm,272,2.272
final_layernorm,288,2.368
final_layernorm,304,2.335
final_layernorm,320,2.304
final_layernorm,336,2.272
final_layernorm,352,2.368
final_layernorm,368,2.368
final_layernorm,384,2.368
final_layernorm,400,2.656
final_layernorm,416,2.368
final_layernorm,432,2.464
final_layernorm,448,2.464
final_layernorm,464,2.848
final_layernorm,480,2.944
final_layernorm,496,3.008
final_layernorm,512,3.488
final_layernorm,528,3.2
final_layernorm,544,3.168
final_layernorm,560,3.104
final_layernorm,576,3.297
final_layernorm,592,3.425
final_layernorm,608,3.551
final_layernorm,624,3.52
final_layernorm,640,3.615
final_layernorm,656,3.776
final_layernorm,672,4.288
final_layernorm,688,4
final_layernorm,704,4.448
final_layernorm,720,3.616
final_layernorm,736,4.384
final_layernorm,752,4.928
final_layernorm,768,4.544
final_layernorm,784,4.832
final_layernorm,800,4.832
final_layernorm,816,4.928
final_layernorm,832,4.768
final_layernorm,848,5.024
final_layernorm,864,5.439
final_layernorm,880,5.279
final_layernorm,896,5.216
final_layernorm,912,5.152
final_layernorm,928,5.664
final_layernorm,944,5.408
final_layernorm,960,6.4
final_layernorm,976,5.92
final_layernorm,992,6.24
final_layernorm,1008,5.952
final_layernorm,1024,6.976
layernorm,1,1.776
layernorm,2,1.744
layernorm,3,1.76
layernorm,4,1.776
layernorm,5,1.76
layernorm,6,1.776
layernorm,7,1.84
layernorm,8,1.792
layernorm,9,1.776
layernorm,10,1.792
layernorm,11,1.792
layernorm,12,1.776
layernorm,13,1.776
layernorm,14,1.776
layernorm,15,1.808
layernorm,16,1.808
layernorm,20,1.984
