layer,sequences,time_us
lm_head,1,395.74
lm_head,2,372.956
lm_head,3,372.444
lm_head,4,373.276
lm_head,5,372.636
lm_head,6,373.499
lm_head,7,373.915
lm_head,8,373.436
lm_head,9,373.404
lm_head,10,375.004
lm_head,11,373.852
lm_head,12,375.099
lm_head,13,373.404
lm_head,14,374.268
lm_head,15,377.181
lm_head,16,376.988
lm_head,20,376.028
lm_head,24,376.667
lm_head,28,378.62
lm_head,32,379.771
lm_head,36,382.332
lm_head,40,382.427
lm_head,44,382.908
lm_head,48,381.66
lm_head,52,380.987
lm_head,56,382.139
lm_head,60,380.86
lm_head,64,384.283
sampler,1,8.032
sampler,2,9.602
sampler,3,9.246
sampler,4,9.568
sampler,5,9.503
sampler,6,9.696
sampler,7,10.272
sampler,8,11.04
sampler,9,12.16
sampler,10,12.608
sampler,11,12.128
sampler,12,12.352
sampler,13,12.8
sampler,14,12.8
sampler,15,13.952
sampler,16,13.824
sampler,20,15.489
sampler,24,17.28
sampler,28,20.256
sampler,32,21.792
sampler,36,23.294
sampler,40,24.895
sampler,44,26.337
sampler,48,27.744
sampler,52,29.216
sampler,56,31.807
sampler,60,33.664
sampler,64,35.232
