layer,sequences,time_us
lm_head,1,108.436
lm_head,2,105.901
lm_head,3,106.316
lm_head,4,105.891
lm_head,5,106.2
lm_head,6,106.051
lm_head,7,106.243
lm_head,8,106.424
lm_head,9,106.296
lm_head,10,106.413
lm_head,11,106.67
lm_head,12,106.798
lm_head,13,107.052
lm_head,14,107.532
lm_head,15,107.341
lm_head,16,107.459
lm_head,20,115.277
lm_head,24,115.982
lm_head,28,115.714
lm_head,32,116.417
lm_head,36,112.76
lm_head,40,113.528
lm_head,44,113.827
lm_head,48,113.944
lm_head,52,113.571
lm_head,56,113.646
lm_head,60,113.934
lm_head,64,114.51
lm_head,80,136.14
lm_head,96,136.19
lm_head,112,137.337
lm_head,128,138.441
